 , , , , , , , ,ACTURAL, , , , , , , , , , , , , , , , , ,COMMAND, , , , , , , , , 
acs1,acs2,acs3,acs4,acs5,acs6,pcs1,pcs2,pcs3,pcs4,pcs5,pcs6,current1,current2,current3,current4,current5,current6,acs1,acs2,acs3,acs4,acs5,acs6,pcs1,pcs2,pcs3,pcs4,pcs5,pcs6,current1,current2,current3,current4,current5,current6
3.54872,0.430479,91.2366,-1.09483,88.1127,7.26903,420.007,22.5075,409.147,-179.051,1.21065,176.315,1.01079,1.67535,-0.890661,-0.405446,-0.136217,0.426719,4.40044,0.486616,91.4854,-1.37733,87.7034,8.9805,420,27.4501,407.874,-178.858,1.47387,175.54,0.0619368,0.00751328,1.59238,-0.0191083,1.53786,0.126869
3.84954,0.453186,91.3239,-1.1946,87.9729,7.8744,419.989,24.3972,408.683,-178.975,1.30864,176.017,1.05481,1.51167,-0.998746,-0.436957,-0.103072,0.402108,4.7379,0.504266,91.58,-1.492,87.5432,9.66167,420,29.5515,407.328,-178.777,1.58772,175.208,0.0671871,0.00790959,1.5939,-0.0208497,1.53542,0.137434
4.24181,0.478068,91.4365,-1.32576,87.7751,8.66772,420.024,26.864,408.056,-178.88,1.45131,175.625,1.08166,1.39983,-0.900689,-0.381633,-0.138758,0.398254,5.15923,0.522433,91.6944,-1.63681,87.3464,10.511,420,32.1741,406.647,-178.677,1.72997,174.794,0.0740336,0.00834387,1.59587,-0.0231388,1.53196,0.15128
4.62087,0.498219,91.5479,-1.45311,87.6039,9.42945,419.983,29.2424,407.402,-178.787,1.56557,175.252,1.03653,1.36934,-0.820365,-0.370123,-0.118679,0.411416,5.52344,0.5347,91.79,-1.76346,87.179,11.2443,420,34.4404,406.059,-178.592,1.85307,174.438,0.0806493,0.00869556,1.59781,-0.0253615,1.52898,0.164575
4.8803,0.510184,91.6202,-1.54227,87.4736,9.95296,420.008,30.8694,406.972,-178.725,1.66072,174.995,0.992668,1.39128,-0.921164,-0.422643,-0.134591,0.4148,5.82305,0.54241,91.8664,-1.86865,87.0432,11.847,420,36.3042,405.575,-178.523,1.95443,174.146,0.0851772,0.0089044,1.59907,-0.0269178,1.5267,0.173712
5.28181,0.524597,91.724,-1.68012,87.2943,10.7582,420.004,33.3869,406.336,-178.63,1.79233,174.602,0.979541,1.47742,-1.01257,-0.437678,-0.135286,0.412174,6.20748,0.549168,91.9613,-2.00496,86.8714,12.6198,420,38.6951,404.954,-178.435,2.08465,173.772,0.092185,0.00915595,1.60089,-0.0293236,1.52357,0.187766
5.64814,0.535529,91.8202,-1.80799,87.1202,11.5007,420.022,35.682,405.731,-178.546,1.92222,174.238,0.91897,1.58591,-0.925965,-0.431671,-0.123834,0.406559,6.60246,0.552447,92.0554,-2.14655,86.6977,13.4132,420,41.1512,404.316,-178.346,2.21865,173.39,0.0985787,0.00934675,1.60256,-0.0315553,1.52053,0.200725
6.01714,0.544258,91.9161,-1.93982,86.9572,12.2486,419.999,37.9827,405.112,-178.458,2.04276,173.871,0.904978,1.6419,-0.908377,-0.45879,-0.106109,0.396131,7.00752,0.551966,92.1483,-2.29336,86.5227,14.2264,420,43.6697,403.663,-178.256,2.3563,172.999,0.105019,0.0094991,1.60424,-0.0338563,1.51769,0.213778
6.33449,0.548229,91.9927,-2.05132,86.8182,12.8776,419.996,39.9715,404.598,-178.387,2.14886,173.57,0.987549,1.65128,-1.00752,-0.463419,-0.10459,0.406123,7.33849,0.548685,92.2214,-2.4145,86.3818,14.8905,420,45.7274,403.128,-178.183,2.46897,172.68,0.110558,0.0095684,1.60558,-0.0358022,1.51526,0.224757
6.80962,0.550051,92.1006,-2.22386,86.6084,13.8372,420.017,42.9384,403.852,-178.28,2.31698,173.103,1.0626,1.64866,-1.04593,-0.482777,-0.117312,0.397598,7.84588,0.538622,92.3287,-2.60225,86.1699,15.9081,420,48.8822,402.309,-178.073,2.64203,172.193,0.11885,0.00960019,1.60746,-0.0388137,1.5116,0.241505
